run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
betterleaks/default,jwt,composition,60,0.1167,1.0000,0.1167,0.1167
betterleaks/default,jwt,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/default,jwt,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/default,jwt,encoding,630,0.2857,1.0000,0.2857,0.2857
betterleaks/default,jwt,indirection,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,jwt,multi_encoding,270,0.0000,1.0000,0.0000,0.0000
betterleaks/default,jwt,splitting,150,0.0267,1.0000,0.0267,0.0267
betterleaks/default,slack_bot_token,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/default,slack_bot_token,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,slack_bot_token,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/default,slack_bot_token,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/default,slack_bot_token,encoding,630,0.7095,1.0000,0.7095,0.7095
betterleaks/default,slack_bot_token,indirection,60,0.5000,1.0000,0.5000,0.5000
betterleaks/default,slack_bot_token,multi_encoding,270,0.6704,1.0000,0.6704,0.6704
betterleaks/default,slack_bot_token,splitting,150,0.1400,1.0000,0.1400,0.1400
betterleaks/default,stripe_secret_key,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/default,stripe_secret_key,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,stripe_secret_key,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/default,stripe_secret_key,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/default,stripe_secret_key,encoding,630,0.7159,1.0000,0.7159,0.7159
betterleaks/default,stripe_secret_key,indirection,60,0.4833,1.0000,0.4833,0.4833
betterleaks/default,stripe_secret_key,multi_encoding,270,0.6778,1.0000,0.6778,0.6778
betterleaks/default,stripe_secret_key,splitting,150,0.0867,1.0000,0.0867,0.0867
betterleaks/decode,aws_access_key_id,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,aws_access_key_id,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,aws_access_key_id,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,aws_access_key_id,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/decode,aws_access_key_id,encoding,630,0.4159,1.0000,0.4159,0.4159
betterleaks/decode,aws_access_key_id,indirection,60,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,aws_access_key_id,multi_encoding,270,0.9037,1.0000,0.9037,0.9037
betterleaks/decode,aws_access_key_id,splitting,150,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,aws_keypair,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/decode,aws_keypair,composition,60,0.0000,1.0000,0.0000,0.0000
